assem	all	pga	pga_like	pag
Onychomys_torridus__southern_grasshopper_mouse__HLonyTor1__GCA_903995425.1	1	0	1	0
Orcinus_orca__killer_whale__HLorcOrc3__GCA_937001465.1	4	1	0	3
Orientallactaga_sibirica__Mongolian_five-toed_jerboa__HLoriSib2__GCA_041429955.1	1	0	1	0
Orycteropus_afer__Aardvark__HLoryAfer3A__GCA_054668785.1	1	1	0	0
Oryctolagus_cuniculus__Rabbit__HLoryCuni5__GCF_964237555.1	16	15	1	0
Oryctolagus_cuniculus__Rabbit__HLoryCuni6__GCA_051225735.1	17	16	1	0
Otocyon_megalotis__bat-eared_fox__HLotoMeg2	2	1	1	0
Ovis_aries__Sheep__HLoviArie7__GCA_040805955.1	71	1	0	70
Ovis_canadensis__Bighorn_sheep__HLoviCana3__GCF_042477335.2	72	1	0	71
Pachyuromys_duprasi__fat-tailed_gerbil__HLpacDup1	1	0	1	0
Paguma_larvata__Masked_palm_civet__HLpagLar1__GCA_030068075.1	2	1	1	0
Panthera_leo__Lion__HLpanLeo3A__GCA_046255005.1	2	1	1	0
Panthera_leo__Lion__HLpanLeo3B__GCA_046254995.1	2	1	1	0
Panthera_leo__lion__HLpanLeo2__GCF_018350215.1	2	1	1	0
Panthera_onca__Jaguar__HLpanOnca3A__GCA_046562875.1	2	1	1	0
Panthera_pardus__leopard__HLpanPar2__GCA_024362965.1	2	1	1	0
Panthera_tigris__tiger__HLpanTig3__GCF_018350195.1	2	1	1	0
Pantholops_hodgsonii__Chiru__HLpanHodg2__GCA_040182635.1	96	1	0	95
Pan_paniscus__pygmy_chimpanzee__HLpanPan4__GCA_029289425.3	3	3	0	0
Pan_troglodytes__chimpanzee__HLpanTro7__GCA_028858775.2	3	3	0	0
Pan_troglodytes__chimpanzee__panTro6__GCF_002880755.1	3	3	0	0
Papio_anubis__olive_baboon__HLpapAnu5__GCA_008728515.1	2	2	0	0
Papio_anubis__olive_baboon__HLpapAnu6__GCA_008728515.2	2	2	0	0
Papio_hamadryas__hamadryas_baboon__HLpapHam2__GCA_023781915.1	4	3	1	0
Pekania_pennanti__Fisher__HLpekPenn1__GCA_047676605.1	2	1	1	0
Peponocephala_electra__Melon-headed_whale__HLpepElec2A__GCA_051427945.1	4	1	0	3
Perognathus_longimembris_pacificus__Pacific_pocket_mouse__HLperLonPac2__GCF_023159225.1	1	0	1	0
Peromyscus_californicus_insignis__California_mouse__HLperCal2__GCA_007827085.2	1	0	1	0
Peromyscus_californicus_insignis__California_mouse__HLperCalIns3__GCF_007827085.1	1	0	1	0
Peromyscus_eremicus__Cactus_mouse__HLperErem2__GCF_949786415.1	1	0	1	0
Peromyscus_leucopus__white-footed_mouse__HLperLeu1__GCA_004664715.1	1	0	1	0
Peromyscus_maniculatus_bairdii__Prairie_deer_mouse__HLperManiBai4__GCF_049852395.1	1	0	1	0
Peromyscus_maniculatus_sonoriensis__North_American_deer_mouse__HLperManSon3__GCA_026229955.1	1	0	1	0
Phacochoerus_africanus__Common_warthog__HLphaAfr1__GCA_016906955.1	13	1	0	12
Phoca_vitulina__harbor_seal__HLphoVit1__GCA_004348235.1	2	1	1	0
Phocoena_phocoena__harbor_porpoise__HLphoPho3__GCA_963924675.1	3	1	0	2
Phocoena_sinus__vaquita__HLphoSin1__GCA_008692025.1	3	1	0	2
Phodopus_roborovskii__desert_hamster__HLphoRob1__GCA_943737965.1	1	0	1	0
Phodopus_sungorus__winter_white_dwarf_hamster__HLphoSun2__GCA_030556225.1	1	0	1	0
Phyllostomus_discolor__Pale_spear-nosed_bat__HLphyDisc4__GCF_004126475.2	2	1	1	0
Phyllostomus_discolor__pale_spear-nosed_bat__HLphyDis3__GCA_014049915.1	2	1	1	0
Phyllostomus_hastatus__Greater_spear-nosed_bat__HLphyHast2__GCF_019186645.2	2	1	1	0
Phyllotis_vaccarum__Punta_de_Vaca_leaf-eared_mouse__HLphyVac1__GCA_033318265.1	1	0	1	0
Pipistrellus_abramus__Japanese_house_bat__HLpipAbr1__GCA_044885105.1	13	1	12	0
Pipistrellus_hanaki__Hanakis_dwarf_bat__HLpipHan1__GCA_964339955.1	10	1	9	0
Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1A__GCA_963693515.1	12	1	11	0
Pipistrellus_nathusii__Nathusiuss_pipistrelle__HLpipNat1B__GCA_963693525.1	12	1	11	0
Pipistrellus_pipistrellus__common_pipistrelle__HLpipPip2__GCA_903992545.1	12	1	11	0
Pipistrellus_pygmaeus__soprano_pipistrelle__HLpipPyg1__GCA_949987585.1	9	1	8	0
Platyrrhinus_helleri__Hellers_broad-nosed_bat__HLplaHell1A__GCA_051107505.1	2	1	1	0
Plecotus_auritus__brown_big-eared_bat__HLpleAur1__GCA_963455305.1	10	1	9	0
Plecturocebus_cupreus__Coppery_titi__HLpleCup1__GCA_040437455.1	2	1	1	0
Plecturocebus_grovesi__Alta_Floresta_titi_monkey__HLpleGro1__GCA_963574625.1	2	1	1	0
Pongo_abelii__Sumatran_orangutan__HLponAbe4__GCA_028885655.2	8	8	0	0
Pongo_abelii__Sumatran_orangutan__ponAbe3__GCF_002880775.1	1	1	0	0
Pongo_pygmaeus__Bornean_orangutan__HLponPyg1__GCA_023767775.1	1	1	0	0
Pongo_pygmaeus__Bornean_orangutan__HLponPyg2__GCA_028885625.2	5	5	0	0
Prionailurus_bengalensis__leopard_cat__HLpriBen2__GCF_016509475.1	2	1	1	0
Prionailurus_viverrinus__fishing_cat__HLpriViv3__GCF_022837055.1	2	1	1	0
Proteles_cristata_cristata__aardwolf__HLproCriCri1__GCA_017311185.1	2	1	1	0
Psammomys_obesus__fat_sand_rat__HLpsaObe1__GCA_002215935.2	1	0	1	0
Pseudomys_desertor__brown_desert_mouse__HLpseDes1	1	0	1	0
Pseudorca_crassidens__False_killer_whale__HLpseCra2A__GCF_039906515.1	5	1	0	4
Pteromys_volans__Siberian_flying_squirrel__HLpteVola1__GCA_051107445.1	1	0	1	0
Pteronotus_mesoamericanus__Mesoamerican_mustached_bat__HLpteMes1__GCA_021234165.1	2	1	1	0
Pteropus_alecto__black_flying_fox__pteAle1__GCF_000325575.1	2	1	1	0
Pteropus_medius__Indian_flying_fox__HLpteGig1__GCA_902729225.1	2	1	1	0
Pteropus_pselaphon__Bonin_flying_fox__HLptePse1__GCA_014363405.1	2	1	1	0
Puma_concolor__Puma__HLpumConc2A__GCA_028749985.4	2	1	1	0
Pusa_saimensis__Ringed_seal__HLpusHisSai1__GCA_947044825.1	2	1	1	0
Rattus_norvegicus__Norway_rat__HLratNor8__GCF_036323735.1	1	0	1	0
Rattus_norvegicus__Norway_rat__rn7__GCF_015227675.2	1	0	1	0
Rattus_rattus__black_rat__HLratRat7__GCA_011064425.1	1	0	1	0
Reithrodontomys_megalotis_longicaudus__Western_harvest_mouse__HLreiMegLon1__GCA_043882965.1	1	0	1	0
Rhabdomys_dilectus__mesic_four-striped_grass_rat__HLrhaDil1__GCA_019844195.1	1	0	1	0
Rhabdomys_pumilio__Four-striped_grass_mouse__HLrhaPum1__GCA_030674055.1	1	0	1	0
Rhinolophus_affinis__Intermediate_horseshoe_bat__HLrhiAff4__GCA_040057535.1	1	1	0	0
Rhinolophus_affinis__intermediate_horseshoe_bat__HLrhiAff2__GCA_043728065.1	1	1	0	0
Rhinolophus_clivosus__Geoffroys_horseshoe_bat__HLrhiCliv1A__GCA_054645015.1	2	1	1	0
Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer5__GCA_014108255.1	1	1	0	0
Rhinolophus_ferrumequinum__greater_horseshoe_bat__HLrhiFer6__GCF_004115265.1	1	1	0	0
Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1A__GCA_964194185.1	1	1	0	0
Rhinolophus_hipposideros__Lesser_horseshoe_bat__HLrhiHip1B__GCA_964194215.1	1	1	0	0
Rhinolophus_perniger_lanosus__Northern_woolly_horseshoe_bat__HLrhiLuc4__GCA_043748575.1	1	1	0	0
Rhinolophus_rex__king_horseshoe_bat__HLrhiRex1__GCA_041825415.1	2	1	1	0
Rhinolophus_sinicus__Chinese_rufous_horseshoe_bat__HLrhiSin4__GCA_036562045.1	1	1	0	0
Rhinolophus_trifoliatus__Trefoil_horseshoe_bat__HLrhiTri2__GCA_043728145.1	1	1	0	0
Rhinolophus_yonghoiseni__Yong_Hoi_Sens_woolly_horseshoe_bat__HLrhiSed2__GCA_043880425.1	1	1	0	0
Rhinopithecus_bieti__Black-and-white_snub-nosed_monkey__HLrhiBiet3	2	1	1	0
Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1	3	3	0	0
Rhinopoma_cystops__Egyptian_mouse-tailed_bat__HLrhiCyst1A__GCA_055761895.1	2	1	1	0
Rhinopoma_cystops__Egyptian_mouse-tailed_bat__HLrhiCyst1B__GCA_055761905.1	2	1	1	0
Rhinopoma_microphyllum__Greater_mouse-tailed_bat__HLrhiMic1__GCA_043880545.1	2	1	1	0
Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1A__GCA_043290085.1	2	1	1	0
Rhynchocyon_petersi__Black_and_rufous_elephant_shrew__HLrhyPet1B__GCA_043290065.1	2	1	1	0
Rhynchomys_soricoides__Mount_Data_shrew_rat__HLrhySor1__GCA_019843965.1	1	0	1	0
Rhynchonycteris_naso__Proboscis_bat__HLrhyNas2A__GCA_037038545.1	2	1	1	0
Rhynchonycteris_naso__Proboscis_bat__HLrhyNas2B__GCA_037038555.1	2	1	1	0
Rousettus_aegyptiacus__Egyptian_rousette__HLrouAeg4__GCA_014176215.1	2	1	1	0
Rousettus_leschenaultii__Leschenaults_rousette__HLrouLesc2A__GCA_053538355.1	2	1	1	0
Rupicapra_rupicapra__Chamois__HLrupRup1__GCA_963981305.1	62	1	0	61
Saccopteryx_bilineata__greater_sac-winged_bat__HLsacBil1__GCF_036850765.1	2	1	1	0
Saccopteryx_leptura__lesser_sac-winged_bat__HLsacLep1__GCF_036850995.1	2	1	1	0
Saguinus_midas__Midas_tamarin__HLsagMid1__GCA_021498475.1	2	1	1	0
Saguinus_oedipus__Cotton-top_tamarin__HLsagOed1__GCA_031835075.1	2	1	1	0
Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol2__GCF_016699345.1	2	1	1	0
Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol3__GCF_016699345.2	2	1	1	0
Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBoli4__GCA_048565385.1	2	1	1	0
Salpingotus_crassicauda__Thick-tailed_pygmy_jerboa__HLsalCra1__GCA_040869305.1	1	0	1	0
Sapajus_apella__tufted_capuchin__HLsapApe3__GCA_023762875.2	2	1	1	0
Scaptochirus_moschatus__Short-faced_mole__HLscaMos1__GCA_042919465.1	2	1	1	0
Sciurus_carolinensis__gray_squirrel__HLsciCar1__GCA_902686445.1	1	0	1	0
Sciurus_vulgaris__Eurasian_red_squirrel__HLsciVul1__GCA_902686455.1	1	0	1	0
Scotinomys_teguina__Alstons_brown_mouse__HLscoTegu1__GCA_049901635.1	1	0	1	0
Scutisorex_somereni__Hero_shrew__HLscuSome1__GCA_054737625.1	2	1	1	0
Sicista_trizona__Hungarian_birch_mouse__HLsicTriz1A__GCA_982266845.1	1	0	1	0
Sigmodon_hispidus__Hispid_cotton_rat__HLsigHis2__GCA_041721565.1	1	0	1	0
Sigmodon_hispidus__Hispid_cotton_rat__HLsigHisp3__GCA_047301775.1	1	0	1	0
Sorex_fumeus__smoky_shrew__HLsorFum1__GCF_029834395.1	2	1	1	0
Sorex_ornatus__Ornate_shrew__HLsorOrn1A__GCA_041430695.1	2	1	1	0
Sorex_ornatus__Ornate_shrew__HLsorOrn1B__GCA_041430635.1	2	1	1	0
Spermophilus_citellus__European_suslik__HLspeCit1__GCA_964194105.1	1	0	1	0
Spilogale_interrupta__plains_spotted_skunk__HLspiInt1__GCA_023159085.1	2	1	1	0
Sturnira_hondurensis__Honduras_yellow-shouldered_bat__HLstuHon1__GCA_014824575.1	2	1	1	0
Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1A__GCA_054855685.1	2	1	1	0
Sturnira_parvidens__Northern_Yellow-shouldered_Bat__HLstuParv1B__GCA_054855695.1	2	1	1	0
Suncus_etruscus__white-toothed_pygmy_shrew__HLsunEtr1__GCF_024139225.1	2	1	1	0
Suncus_murinus__House_shrew__HLsunMuri1__GCA_055769025.1	2	1	1	0
Sus_scrofa__Pig__HLsusScro12__GCA_048338725.1	19	1	0	18
Sylvilagus_floridanus__eastern_cottontail__HLsylFlo1__GCA_949820135.1	18	17	1	0
Symphalangus_syndactylus__siamang__HLsymSyn3__GCF_028878055.1	4	3	1	0
Symphalangus_syndactylus__siamang__HLsymSyn4__GCA_028878055.3	4	3	1	0
Tadarida_brasiliensis__Brazilian_free-tailed_bat__HLtadBra3__GCA_030848825.1	2	1	1	0
Tadarida_teniotis__European_free-tailed_bat__HLtadTeni1A__GCA_976988885.1	2	1	1	0
Talpa_europaea__European_mole__HLtalEur1A__GCA_964194135.1	2	1	1	0
Talpa_europaea__European_mole__HLtalEur1B__GCA_964194205.1	2	1	1	0
Talpa_occidentalis__Iberian_mole__HLtalOcc1__GCA_014898055.1	2	1	1	0
Tamandua_tetradactyla__southern_tamandua__HLtamTet2__GCA_023851605.1	2	1	1	0
Tamias_sibiricus__Siberian_chipmunk__HLtamSib1__GCA_025594165.1	1	0	1	0
Tamias_sibiricus__Siberian_chipmunk__HLtamSibi2__GCA_047496905.1	1	0	1	0
Tapirus_indicus__Asiatic_tapir__HLtapIndi3A__GCA_031878655.1	11	9	2	0
Tapirus_indicus__Asiatic_tapir__HLtapIndi3B__GCA_031878705.1	11	9	2	0
Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1A	2	1	1	0
Tenrec_ecaudatus__Tailless_tenrec__HLtenEca1B	2	1	1	0
Tenrec_ecaudatus__Tailless_tenrec__HLtenEcau2A__GCF_050624435.1	2	1	1	0
Tenrec_ecaudatus__Tailless_tenrec__HLtenEcau2B__GCA_050624465.1	2	1	1	0
Thomomys_bottae__Bottas_pocket_gopher__HLthoBot2A__GCA_031878675.1	1	0	1	0
Thomomys_bottae__Bottas_pocket_gopher__HLthoBot2B__GCA_031878665.1	1	0	1	0
Tokudaia_muenninki__Okinawa_island_spiny_rat__HLtokMue1__GCA_036184385.1	1	0	1	0
Tokudaia_tokunoshimensis__Tokunoshima_spiny_rat__HLtokTok1__GCA_036184795.1	1	0	1	0
Trachypithecus_francoisi__Francoiss_langur__HLtraFra1__GCA_009764315.1	3	2	1	0
Trachypithecus_germaini__Indochinese_lutung__HLtraGer1__GCA_047047975.1	4	4	0	0
Trachypithecus_phayrei_crepuscula__Phayres_leaf_monkey__HLtraPhaCre1__GCA_023762245.1	2	2	0	0
Trachypithecus_shortridgei__Shortridges_langur__HLtraShor1__GCA_054345695.1	4	4	0	0
Trichechus_inunguis__Amazon_manatee__HLtriInu1A__GCA_046562895.1	4	3	1	0
Trichechus_inunguis__Amazon_manatee__HLtriInu1B__GCA_046562985.1	4	3	1	0
Tupaia_chinensis__Chinese_tree_shrew__HLtupChi2__GCA_033439345.1	2	1	1	0
Tupaia_tana__large_tree_shrew__HLtupTan1__GCA_026018925.1	2	1	1	0
Tursiops_truncatus__common_bottlenose_dolphin__HLturTru5__GCF_011762595.1	3	1	0	2
Typhlomys_cinereus__Soft-furred_tree_mouse__HLtypCin1__GCA_023101885.1	1	0	1	0
Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar1__GCA_003426925.1	1	0	1	0
Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2A__GCA_045843805.1	1	0	1	0
Urocitellus_parryii__Arctic_ground_squirrel__HLuroPar2B__GCA_045843765.1	1	0	1	0
Urocyon_cinereoargenteus__Gray_fox__HLuroCin1__GCA_032313775.1	2	1	1	0
Urocyon_littoralis_catalinae__Santa_Catalina_Island_fox__HLuroLitCat1	2	1	1	0
Uromys_caudimaculatus__giant_uromys__HLuroCau1	1	0	1	0
Ursus_americanus__American_black_bear__HLursAme3__GCF_020975775.1	2	1	1	0
Ursus_arctos__brown_bear__HLursArc2__GCF_023065955.1	2	1	1	0
Ursus_maritimus__polar_bear__HLursMar2__GCF_017311325.1	2	1	1	0
Ursus_thibetanus_thibetanus__Asiatic_black_bear__HLursThi1__GCA_009660055.1	2	1	1	0
Vespertilio_murinus__particolored_bat__HLvesMur1__GCA_963924515.1	10	1	9	0
Vicugna_pacos_huacaya__alpaca__HLvicPacHua3__GCA_000767525.1	2	1	0	1
Vicugna_pacos__Alpaca__HLvicPaco5__GCF_048564905.1	2	1	0	1
Vicugna_vicugna_mensalis__vicugna__HLvicVicMen1__GCA_013265495.1	2	1	0	1
Vulpes_corsac__Corsac_fox__HLvulCor1__GCA_030463245.1	2	1	1	0
Vulpes_ferrilata__Tibetan_sand_fox__HLvulFer1__GCA_024500485.1	2	1	1	0
Vulpes_lagopus__Arctic_fox__HLvulLag2__GCF_018345385.1	2	1	1	0
Vulpes_vulpes__Red_fox__HLvulVul3__GCA_048418805.1	2	1	1	0
Xanthonycticebus_pygmaeus__pygmy_slow_loris__HLxanPyg1	2	1	1	0
Zalophus_californianus__California_sea_lion__HLzalCal1__GCA_009762305.1	2	1	1	0
Zalophus_californianus__California_sea_lion__HLzalCali2__GCF_009762305.2	2	1	1	0
hg38	3	3	0	0
